Sample,TMB,TNB,GANB
DO52642,56,0,310
DO219944,56,0,293
DO52615,41,0,237
DO52622,8,0,232
DO2694,50,0,195
DO43378,42,0,164
DO51489,127,0,139
DO220871,64,0,135
DO51107,23,0,134
DO219973,6,0,115
DO2629,33,0,115
DO220849,45,0,110
DO50350,61,0,109
DO220868,52,0,104
DO219968,30,0,101
DO220869,38,0,99
DO220858,29,0,94
DO51520,109,0,89
DO52544,73,0,82
DO52620,9,0,80
DO50392,71,0,78
DO3840,35,0,74
DO50449,107,0,72
DO50819,30,0,72
DO220168,91,0,71
DO35085,19,0,67
DO44966,104,0,61
DO49463,51,0,61
DO49078,35,0,59
DO52582,54,0,59
DO52643,20,0,59
DO46392,52,0,58
DO40831,51,0,55
DO49204,57,0,55
DO11501,71,0,53
DO46328,40,0,52
DO52593,40,0,51
DO218774,40,0,50
DO34432,33,0,50
DO37627,232,0,50
DO51150,21,0,50
DO52596,25,0,49
DO219945,32,0,47
DO51089,33,0,47
DO12484,25,0,46
DO220126,30,0,46
DO52574,12,0,45
DO52636,4,0,45
DO45297,32,0,43
DO6332,67,0,43
DO45249,20,0,42
DO218828,53,0,41
DO27763,21,0,41
DO46346,35,0,40
DO48935,3,0,40
DO218573,38,0,39
DO52600,16,0,39
DO52602,11,0,39
DO10900,26,0,37
DO218554,48,0,37
DO37259,117,0,37
DO51504,34,0,37
DO220140,29,0,36
DO220845,31,0,36
DO222286,23,0,36
DO46362,39,0,35
DO35571,36,0,34
DO51137,37,0,34
DO11794,59,0,32
DO218796,70,0,32
DO51047,23,0,32
DO51104,16,0,32
DO52601,9,0,31
DO33028,31,0,30
DO46360,55,0,30
DO49166,21,0,30
DO51102,12,0,30
DO1009,14,0,29
DO48972,11,0,29
DO51123,26,0,27
DO52651,83,0,27
DO34817,23,0,26
DO45291,39,0,26
DO52532,12,0,26
DO52646,21,0,26
DO222285,62,0,25
DO29146,50,0,25
DO46606,56,0,25
DO218651,15,0,24
DO52576,18,0,24
DO52648,140,0,24
DO28004,42,0,23
DO39910,5,0,23
DO51469,84,0,23
DO52598,25,0,23
DO37587,49,0,22
DO51106,11,0,22
DO51172,21,0,22
DO52616,19,0,22
DO1003,43,0,21
DO221539,38,0,21
DO32420,42,0,21
DO51468,34,0,21
DO52556,78,0,20
DO52604,11,0,19
DO10831,8,0,18
DO48725,30,0,17
DO51495,73,0,17
DO10833,15,0,16
DO22884,32,0,16
DO26062,55,0,16
DO34849,45,0,16
DO36360,21,0,16
DO51070,22,0,16
DO51083,15,0,16
DO51114,23,0,16
DO51156,6,0,16
DO52564,48,0,16
DO1016,72,0,15
DO51066,32,0,15
DO51544,22,0,15
DO52658,35,0,15
DO1017,22,0,14
DO10815,13,0,14
DO10825,8,0,14
DO15527,121,0,14
DO51080,19,0,14
DO51523,34,0,14
DO35573,14,0,13
DO49728,26,0,13
DO51131,18,0,13
DO52500,7,0,13
DO52522,11,0,13
DO14171,79,0,12
DO29308,34,0,12
DO218059,28,0,11
DO35845,10,0,11
DO48923,8,0,11
DO52717,37,0,11
DO6231,107,0,11
DO6418,11,0,11
DO220478,28,0,10
DO220822,23,0,10
DO35132,25,0,10
DO35623,10,0,10
DO45263,31,0,10
DO51069,25,0,10
DO51112,27,0,10
DO1008,17,0,9
DO10811,19,0,9
DO218065,81,0,9
DO218443,86,0,9
DO23546,57,0,9
DO35616,16,0,9
DO44462,63,0,9
DO46751,18,0,9
DO50774,49,0,9
DO51132,3,0,9
DO51158,21,0,9
DO52528,15,0,9
DO1011,84,0,8
DO220848,12,0,8
DO23530,10,0,8
DO36068,0,0,8
DO45159,72,0,8
DO49009,127,0,8
DO51121,31,0,8
DO51532,30,0,8
DO52512,24,0,8
DO52577,8,0,8
DO5808,87,0,8
DO22285,27,0,7
DO27777,85,0,7
DO36087,4,0,7
DO48728,26,0,7
DO50791,53,0,7
DO51124,17,0,7
DO51159,7,0,7
DO51992,9,0,7
DO52568,13,0,7
DO1014,23,0,6
DO10817,9,0,6
DO12034,45,0,6
DO27819,34,0,6
DO27859,22,0,6
DO48761,61,0,6
DO48993,59,0,6
DO51087,28,0,6
DO51099,25,0,6
DO51126,19,0,6
DO51145,18,0,6
DO52649,31,0,6
DO14264,53,0,5
DO218089,14,0,5
DO218230,28,0,5
DO218377,13,0,5
DO220163,39,0,5
DO220860,239,0,5
DO27813,37,0,5
DO35098,23,0,5
DO35148,35,0,5
DO35558,14,0,5
DO35668,11,0,5
DO35723,9,0,5
DO35857,6,0,5
DO39798,3,0,5
DO45101,45,0,5
DO45241,53,0,5
DO46834,9,0,5
DO49420,38,0,5
DO51140,2,0,5
DO51144,30,0,5
DO51488,16,0,5
DO51513,23,0,5
DO52520,8,0,5
DO52590,19,0,5
DO13474,43,0,4
DO217867,30,0,4
DO218062,30,0,4
DO22417,10,0,4
DO23534,49,0,4
DO34608,35,0,4
DO36062,1,0,4
DO37599,178,0,4
DO38671,87,0,4
DO39046,3,0,4
DO45093,56,0,4
DO45109,35,0,4
DO46334,32,0,4
DO49138,88,0,4
DO50845,25,0,4
DO51138,32,0,4
DO10813,11,0,3
DO11202,55,0,3
DO14282,31,0,3
DO35586,8,0,3
DO36003,0,0,3
DO36151,0,0,3
DO36345,21,0,3
DO39020,7,0,3
DO40274,14,0,3
DO44285,24,0,3
DO46745,6,0,3
DO48691,41,0,3
DO49815,7,0,3
DO50405,22,0,3
DO50808,60,0,3
DO51134,14,0,3
DO51536,58,0,3
DO52508,9,0,3
DO52547,25,0,3
DO6695,15,0,3
DO220577,10,0,2
DO34720,29,0,2
DO35114,18,0,2
DO35621,9,0,2
DO35880,0,0,2
DO36021,0,0,2
